order_id,order_date,customer_id,region,channel,product_category,unit_price,quantity,discount_pct,returned,gross_revenue,net_revenue,order_month
ORD-FV14YBZ6MC,2025-02-21,CUST-1CDDQDE6,Lagos,Store,Electronics,76989.53,4,0.384,0,307958.12,189702.2,2025-02
ORD-2OZZFBNKKT,2025-02-21,CUST-ARTHRS6B,Rivers,Online,Repairs,18476.35,4,0.332,0,73905.4,49368.81,2025-02
ORD-QSG1B4EAQD,2025-02-21,CUST-JRFA9IIG,Enugu,Partner,Accessories,10886.76,1,0.137,0,10886.76,9395.27,2025-02
ORD-AJYGPO3LE8,2025-02-21,CUST-WKR1ZW6S,Enugu,Store,Electronics,60510.46,4,0.149,0,242041.84,205977.61,2025-02
ORD-ONFISI7693,2025-02-21,CUST-VF8P6Y0L,Enugu,Online,Accessories,5199.73,2,0.2,0,10399.46,8319.57,2025-02
ORD-GCYWZRMEPR,2025-02-21,CUST-WO8RHEQ2,Lagos,Online,Repairs,14166.31,5,0.31,1,70831.55,48873.77,2025-02
ORD-5SWL3FSR1M,2025-02-21,CUST-TERSTR77,Enugu,Online,Accessories,8762.86,3,0.057,0,26288.58,24790.13,2025-02
ORD-IWLFNNCXM1,2025-02-21,CUST-L93R551R,Lagos,Store,Accessories,12118.74,3,0.291,0,36356.22,25776.56,2025-02
ORD-BKX9KG93LC,2025-02-21,CUST-6GVGWUL1,Enugu,Online,Accessories,11002.78,6,0.169,0,66016.68,54859.86,2025-02
ORD-CHJMPIINNT,2025-02-21,CUST-D184BWZ1,Lagos,Partner,Home,27597.82,4,0.076,0,110391.28,102001.54,2025-02
ORD-UFQ81ALNCJ,2025-02-21,CUST-9P7ZX1CK,Lagos,Store,Fashion,11447.8,8,0.045,0,91582.4,87461.19,2025-02
ORD-J3E540A3SB,2025-02-21,CUST-CKSB3L4S,Rivers,Store,Home,10737.11,6,0.27,0,64422.66,47028.54,2025-02
ORD-2YIO0TFCNG,2025-02-21,CUST-R7421WY9,Rivers,Store,Fashion,19378.19,2,0.234,0,38756.38,29687.39,2025-02
ORD-XYZHCXJYHV,2025-02-21,CUST-CINTYGE1,Abuja,Online,Accessories,13407.2,2,0.364,0,26814.4,17053.96,2025-02
ORD-EMCNG29K5Q,2025-02-21,CUST-BMCK3023,Abuja,Store,Groceries,5265.01,3,0.176,0,15795.03,13015.1,2025-02
ORD-C0W2DIPWAI,2025-02-21,CUST-0CYMCS2C,Kano,Online,Electronics,77977.61,6,0.385,0,467865.66,287737.38,2025-02
ORD-6VC2HU9NKT,2025-02-21,CUST-OBKMCFSD,Kano,Online,Accessories,8454.22,1,0.112,0,8454.22,7507.35,2025-02
